id;id_ex;siret;rup_mi;gestion;date_creat;date_decla;date_publi;date_disso;nature;groupement;titre;titre_court;objet;objet_social1;objet_social2;adrs_complement;adrs_numvoie;adrs_repetition;adrs_typevoie;adrs_libvoie;adrs_distrib;adrs_codeinsee;adrs_codepostal;adrs_libcommune;adrg_declarant;adrg_complemid;adrg_complemgeo;adrg_libvoie;adrg_distrib;adrg_codepostal;adrg_achemine;adrg_pays;dir_civilite;siteweb;publiweb;observation;position;maj_time
"W571000001";"V3807F368";"";"";"751P";"1992-02-20";"2013-12-13";"1901-07-01";"0001-01-01";"D";"S";"ASSOCIATION PROFESSIONNELLE DES LAVEURS INTERIEURS DE CITERNES AGREES (A.P.L.I.C.A.)";"APLICA";"représentation et défense des intérêts des adhérents en France et en Europe ; lactivité de ces stations concerne le lavage et le nettoyage des contenants de tous produits ; en particulier, lassociation a pour objet la participation à toutes les discussions avec les autorités françaises et européennes sur la réglementation du nettoyage de contenants divers, linformation de ses adhérents ; le développement des relations avec les associations représentatives des transporteurs par divers modes, et les associations représentatives des chargeurs ; le développement dune politique de communication sur le nettoyage de contenants divers ; le développement des relations avec les représentants des associations poursuivant le même but dans les différents pays de lUnion Européenne et pays tiers ; toute autre action de nature à servir les intérêts des adhérents dans le domaine du nettoyage de contenants divers ; et, en général, toutes opérations pouvant se rattacher directement ou indirectement à lobjet social";"023040";"000000";"Chez F.N.S.A.";"91";"";"AV";"de la République";"_";"75111";"75011";"Paris";"";"38 Rue de la Carnoy";"";"";"";"59130";"LAMBERSART";"FRANCE";"PM";"";"1";"tribunal d'instance de Boulay-Moselle
29 rue de Sarrelouis BP12
57220 BOULAY";"A";"2025-02-26 16:04:07"
"W571000002";"16136";"";"";"541S";"2013-06-17";"2014-11-24";"1901-07-01";"0001-01-01";"D";"S";"RESCUE BEAUCERON & CIE LORRAINE";"RBCL";"venir en aide aux animaux dans leur vie quotidienne, que ce soit auprès des particuliers, dans les refuges, ou encore au sein des différentes associations agissant également pour leur bien être";"024026";"000000";"";"4";"";"PL";"de la poste";"_";"54028";"54580";"Auboué";"";"";"";"4  PLACE DE LA POSTE";"";"54580";"AUBOUé";"FRANCE";"PF";"";"1";"Association enregistrée au Tribunal d'Instance de Metz sous le n° 161 folio 36";"A";"2014-11-24 09:59:32"
"W571003103";"";"";"";"051S";"2022-08-19";"2025-05-15";"0001-01-01";"0001-01-01";"D";"S";"ET ALORS ?";"ET ALORS ?";"faciliter la reconnaissance, l'insertion, la vie sociale et privée ainsi que le quotidien des personnes neuro-atypiques";"017130";"000000";"";"4";"";"RUE";"de Castres";"_";"05023";"05100";"Briançon";"";"";"";"4 RUE DE CASTRES";"";"05100";"BRIANçON";"FRANCE";"PF";"";"0";"";"A";"2025-05-20 18:05:50"
"W572000001";"VII 357";"";"";"543P";"1970-02-15";"2014-05-27";"1970-04-15";"0001-01-01";"D";"S";"AMICALE DES CHASSEURS DE LA GARENNE";"AMICALE DES CHASSEURS DE LA GARENNE";"permettre aux associés de se recréer par la pratique des activités cynégétiques sur les terrains dont l'Association est titulaire du droit de chasse de certains associés et des locations obtenues par l'Association elle-même ; obtenir, soit de l'Etat, soit du Département, soit des Communes et des particuliers, l'affermage de lots de chasse domaniaux, communaux et privés ; défendre l'intérêt de la chasse et des chasseurs, notamment de concourir à la lutte contre le braconnage, assurer la protectio";"013005";"000000";"";"";"";"";"lieu dit Saint Urbain";"_";"54462";"54110";"Rosières-aux-Salines";"";"";"";"LIEU DIT SAINT URBAIN";"";"54110";"ROSIèRES-AUX-SALINES";"FRANCE";"PM";"";"1";"Enregistrée à Saint-Avold puis à Château-Salins";"A";"2014-11-25 20:00:05"
"W572003102";"001541";"";"";"543P";"2007-07-12";"2022-05-18";"2007-08-06";"0001-01-01";"D";"S";"ASSOCIATION DE CHASSE SAINT JEAN DE MARTHILLE";"ASSOCIATION DE CHASSE SAINT-JEAN DE...";"permettre à ses membres de chasser sur les territoires communaux, domaniaux ou privés loués par elle et dans un esprit sportif et amical selon les concepts cynégatiques, biologiques et écologiques reconnus et selon les traditions locales, dans le respect des lois, règlements et bons usages ainsi que de faire toutes opérations tendant ou concourant à la réalisation de cet objet";"013005";"000000";"";"24";"";"RUE";"du Pont de Pierre";"_";"54482";"54130";"Saint-Max";"";"";"";"24  RUE DU PONT DE PIERRE";"";"54130";"SAINT-MAX";"FRANCE";"PM";"";"1";"";"A";"2022-05-23 14:06:03"
"W572003103";"";"";"";"513S";"2025-04-08";"2025-05-22";"0001-01-01";"0001-01-01";"D";"S";"PLUS CEREBRALE QUE NOUS TUMEUR";"PLUS CEREBRALE QUE NOUS TUMEUR";"mettre en place des actions de sensibilisation aux tumeurs cérébrale, œuvrer pour pour le bien-être des patients et des proches, faire de la communication sur les tumeurs cérébrales et Soutenir la recherche";"017055";"000000";"";"13";"";"RUE";"des Courtes Martin";"_";"51454";"51100";"Reims";"";"";"";"13  RUE DES COURTES MARTINS";"";"51100";"REIMS";"FRANCE";"PF";"";"0";"";"A";"2025-11-21 19:00:01"
"W573000001";"341964";"";"";"543P";"2010-02-04";"2021-04-19";"2010-02-14";"0001-01-01";"D";"S";"SOCIETE DE CHASSE DE LA FORET DE PARROY";"SOCIETE DE CHASSE DE LA FORET DE PARRO";"chasse";"013005";"000000";"";"24";"";"CHEM1";"de Verzelle";"_";"54279";"54700";"Jezainville";"";"";"";"24 CHEMIN DE VERZELLE";"";"54700";"JEZAINVILLE";"FRANCE";"PM";"";"1";"vient du tribunal d'instance de Saint Avold";"A";"2021-04-21 13:50:41"
"W575000001";"VOL 27/4";"";"";"302P";"1999-02-02";"2014-04-04";"1901-07-01";"0001-01-01";"D";"S";"COMPAGNIE LA JACQUELINE";"COMPAGNIE LA JACQUELINE";"animation culturelle et notamment de création théâtrale visant à faire connaître sous toutes ses formes, à un public le plus large possible";"006070";"000000";"";"14";"";"RUE";"de la Croix de Fer";"_";"30189";"30000";"Nîmes";"";"";"";"12 RUE DE LA CROIX DE FER";"";"30000";"NîMES";"FRANCE";"PF";"";"1";"";"A";"2014-05-05 18:46:38"
"W575003102";"001541";"";"";"543P";"2007-07-12";"2007-07-12";"2007-08-06";"0001-01-01";"D";"S";"ASSOCIATION DE CHASSE SAINT JEAN DE MARTHILLE";"ASSOCIATION DE CHASSE SAINT JEAN DE MA";"permettre à ses membres de chasser sur les territoires communaux, domaniaux ou privés loués par elle et dans un esprit sportif et amical selon les concepts cynégétiques, biologiques et écologiques reconnus et selon les traditions locales, dans le respect des lois, règlements et bons usages ainsi que de faire toutes opérations tendant ou concourant à la réalisation de cet objet";"013005";"000000";"";"55";"";"RUE";"des carrières";"_";"57414";"57790";"Lorquin";"";"";"";"55  rue des carrières";"";"57790";"Lorquin";"FRANCE";"PM";"";"1";"";"S";"2019-03-25 10:09:22"
"W576000001";"VOL 39 F 4";"";"";"561S";"2006-09-25";"2025-08-02";"2006-09-29";"0001-01-01";"D";"S";"ASSOCIATION DEBIAN FRANCE";"ASSOCIATION DEBIAN FRANCE";"promotion et aide au développement du projet DEBIAN, des systèmes d'exploitation libres issus du projet DEBIAN et de manière plus générale toute contributions aux Logiciels dit ""Libres"" tant sur le territoire français que dans tous les paysl ; fédérer et animer la communauté des contributeurs français et/ou  francophones au projet DEBIAN (développeurs, traducteurs, utilisateurs etc)";"005030";"000000";"Maison des associations Jean Le Coutaller";"5";"";"PL";"Louis Bonneaud";"_";"56121";"56100";"LORIENT";"";"";"";"7 BIS RUE DE LA MONTAT";"";"42290";"SORBIERS";"FRANCE";"PM";"";"1";"";"A";"2025-08-14 13:55:58"
